,R_x,f_1,f_2,Generation,Rank
0,0-1-2-5-14-6*0-1-3-11-10-12-13*8-14-6-9-10-11-3-4*0-1-2-5-7-9-10-12*0-1-4-3-5-7-14-6*2-1-4-3-5-7-9-13*,10.18762088974855,197.0,341,0.0
1,0-1-2-5-14-6*0-1-3-11-10-12-13*8-14-6-9-10-11-3*0-1-2-5-7-9-10-12*0-1-4-3-5-7-14-6*2-1-4-3-5-7-9-13*,10.207607994842038,193.0,343,0.0
2,0-1-2-5-14-6*4-3-5-7-9-13-12*0-1-3-11-10-12-13*0-1-2-5-7-9-10-12*0-1-4-3-5-7-14-6*8-14-6-9-10-11-3-4*,10.221792392005158,191.0,116,0.0
3,0-1-2-5-14-6*4-3-5-7-9-13*0-1-3-11-10-12-13*0-1-2-5-7-9-10-12*0-1-4-3-5-7-14-6*8-14-6-9-10-11-3-4*,10.226305609284331,189.0,181,0.0
1,6-14-5-2-1-0*2-1-4-3-5-7-14-6*0-1-3-11-10-12-13*0-1-2-5-7-9-10-12*4-3-5-7-9-13-12*8-14-6-9-10-11-3-4*,10.234687298517086,185.0,274,0.0
2,6-14-5-2-1-0*2-1-4-3-5-7-9-13*0-1-3-11-10-12-13*0-1-2-5-7-9-10-12*6-14-7-5-3-4*8-14-6-9-10-11-3-4*,10.23920051579626,183.0,141,0.0
6,11-10-9-6-14-8*0-1-2-5-14-6*0-1-2-5-7-9-10-12*0-1-4-3-5-7-14-6*0-1-3-11-10-12-13-9*4-3-5-7-9-10*,10.24113475177305,180.0,153,0.0
4,0-1-4-3-5-7-9-13*2-1-3-11-10-12-13*8-14-6-9-10-11*0-1-2-5-7-9-10-12*2-1-4-3-5-7-14-6*6-14-5-2-1-0*,10.249516441005802,177.0,362,0.0
5,6-14-5-2-1-0*2-1-4-3-5-7-14-6*0-1-3-11-10-12-13*0-1-2-5-7-9-10-12*4-3-5-7-9-13-12*8-14-6-9-10-11*,10.254674403610574,171.0,318,0.0
1,0-1-3-11-10-12-13*0-1-2-5-7-9-10-12*2-1-4-3-5-7-9-13*4-3-5-7-14-6*0-1-2-5-14-6*8-14-6-9-10-11*,10.25918762088975,169.0,276,0.0
2,10-12-13-9-7-5-3-4*6-14-5-2-1-0*4-3-1-0*8-14-6-9-10-11-3-4*2-1-4-3-5-7-14-6*0-1-2-5-7-9-10-12*,10.267569310122502,167.0,208,0.0
1,8-14-6-9-10-11*0-1-2-5-7-9-13-12*0-1-3-11-10-12-13*2-1-4-3-5-7-9-10*0-1-2-5-14-6*4-3-5-7-14-6*,10.270148291424888,166.0,217,0.0
2,8-14-6-9-10-11*0-1-2-5-7-9-13-12*0-1-3-4*2-1-4-3-5-7-9-10*0-1-2-5-14-6*6-14-7-5-3-11-10-12*,10.275306254029658,164.0,232,0.0
4,0-1-2-5-14-6*4-3-1-0*0-1-2-5-7-9-10-12*8-14-6-9-10-11-3-4*12-13-9-7-5-3-4*2-1-4-3-5-7-14-6*,10.277240490006449,162.0,239,0.0
5,2-1-4-3-5-7-14-6*0-1-3-4*12-13-9-7-5-3-4*0-1-2-5-7-9-10-12*1-3-11-10-9-6-14-8*0-1-2-5-14-6*,10.284332688588009,161.0,220,0.0
6,2-1-4-3-5-7-14-6*0-1-3-4*12-13-9-7-5-3-4*0-1-2-5-14-6*3-11-10-9-6-14-8*0-1-2-5-7-9-10-12*,10.297227595099937,158.0,213,0.0
5,8-14-6-9-10-11*0-1-3-11-10-12-13*0-1-2-5-7-9-13-12*2-1-4-3-5-7-9-10*0-1-2-5-14-6*7-14-6*,10.321727917472598,156.0,244,0.0
8,4-3-5-7-14-6*0-1-3-4*12-13-9-7-5-3-4*0-1-2-5-14-6*4-3-11-10-9-6-14-8*0-1-2-5-7-9-10-12*,10.326241134751774,154.0,291,0.0
9,4-3-5-7-9-13-12*0-1-3-4*4-3-5-7-14-6*0-1-2-5-14-6*1-3-11-10-9-6-14-8*0-1-2-5-7-9-10-12*,10.333333333333334,153.0,325,0.0
8,6-14-5-2-1-0*9-10-11-3-5-7-14-6*0-1-2-5-7-9-10-12*0-1-3-4*8-14-6-9-10*4-3-5-7-9-13-12*,10.34107027724049,151.0,230,0.0
