,R_x,f_1,f_2,Generation,Rank
0,4-3-5-7-9-13-12-10-11*0-1-3-5-14-8*0-1-2-5-7-9-10-12-13*2-1-3-11-10-9-6-14-8*0-1-4-3-5-7-14-6*0-1-2-5-14-6*,10.19277885235332,197.0,271,0.0
0,5-3-11-10-9-6-14-8*4-3-5-7-9-13-12-10-11*0-1-2-5-7-9-10-12-13*0-1-3-4*2-1-4-3-5-7-14-6*0-1-2-5-14-6*,10.227595099935526,179.0,76,0.0
0,0-1-2-5-14-6*2-1-4-3-5-7-14-6*4-3-5-7-9-13-12-10-11*1-3-11-10-9-6-14-8*0-1-3-4*0-1-2-5-7-9-10-12-13*,10.228239845261122,178.0,158,0.0
1,0-1-2-5-14-6*2-1-4-3-5-7-14-6*4-3-5-7-9-13-12-10-11*1-3-11-10-9-6-14-8*0-1-3-4*0-1-2-5-7-9-10-12*,10.229529335912314,176.0,148,0.0
1,0-1-2-5-14-6*0-1-2-5-7-9-10-12*4-3-5-7-9-13-12*8-14-6-9-10-11*0-1-3-11-10-12*0-1-4-3-5-7-14-6*,10.251450676982593,175.0,124,0.0
1,4-3-5-7-14-6*0-1-2-5-14-6*0-1-3-11-10-12-13-9*11-10-9-6-14-8*2-1-4-3-5-7-9-10*0-1-2-5-7-9-10-12*,10.254029658284978,174.0,209,0.0
3,0-1-2-5-14-6*0-1-2-5-7-9-13-12*4-3-5-7-9-10*8-14-6-9-10-11*0-1-3-11-10-12-13*0-1-4-3-5-7-14-6*,10.25725338491296,172.0,176,0.0
4,8-14-6-9-10-11*0-1-2-5-14-6*2-1-4-3-5-7-14-6*4-3-5-7-9-13-12*0-1-3-11-10-12*0-1-2-5-7-9-10-12*,10.26434558349452,169.0,279,0.0
3,0-1-2-5-7-9-10-12-13*0-1-2-5-14-6*4-3-5-7-9-13-12*2-1-4-3-5-7-14-6*0-1-3-4*4-3-11-10-9-6-14-8*,10.26627981947131,164.0,173,0.0
3,2-1-4-3-5-7-14-6*1-3-11-10-9-6-14-8*0-1-2-5-14-6*4-3-5-7-9-13-12*0-1-2-5-7-9-10-12-13*0-1-3-4*,10.27337201805287,163.0,156,0.0
