,Run_nr,HV,Epochs,Poor_epochs,Total_iterations
0,Run_1,0.8272635166252187,256,19,26846
1,Run_2,0.8158270961231183,270,39,20798
2,Run_3,0.8225276419540989,290,60,24323
3,Run_4,0.8325912755144946,297,19,38564
4,Run_5,0.8251955260280885,270,23,27382
5,Run_6,0.8216346096087077,324,86,27985
6,Run_7,0.8100652354121363,345,46,30027
7,Run_8,0.822143197536352,261,18,29576
8,Run_9,0.8020479674503725,548,329,19919
9,Run_10,0.7947218985146832,265,22,28585
10,Run_11,0.8158623368614117,249,17,23137
11,Run_12,0.8125793417190272,246,20,22611
12,Run_13,0.8184589385329442,281,21,36636
13,Run_14,0.820764003187685,258,18,31248
14,Run_15,0.8301196182787303,300,7,40316
15,Run_16,0.8197163921493246,295,64,22801
16,Run_17,0.8217811790429737,247,17,23836
17,Run_18,0.8194809199434546,265,30,26775
18,Run_19,0.8179183135704875,252,19,23986
19,Run_20,0.8122958139609389,261,16,24087
20,Run_21,0.8093828465706356,279,23,34874
21,Run_22,0.8193311468057074,265,26,22396
22,Run_23,0.7974939029518122,257,13,24258
23,Run_24,0.7695664187801099,291,78,18400
24,Run_25,0.7982243473455315,238,23,19986
25,Run_26,0.808303198497463,321,94,21199
26,Run_27,0.7940611346716806,259,19,26581
27,Run_28,0.818011220971443,263,19,30949
28,Run_29,0.7922822783137307,316,71,22953
29,Run_30,0.7715871547508919,233,21,17461
