,Run_nr,HV,Epochs,Poor_epochs,Total_iterations
0,Run_1,0.6416882585101864,2279,0,113907
1,Run_2,0.633112696793271,2316,0,115801
2,Run_3,0.6378391562919243,1895,0,94751
3,Run_4,0.6415570074030443,3076,0,153801
4,Run_5,0.638897261501038,2601,0,130050
5,Run_6,0.640382022995126,2528,0,126401
6,Run_7,0.6342059701689529,1550,0,77501
7,Run_8,0.6349655238482219,1397,0,69851
8,Run_9,0.6351987296265381,1615,0,80751
9,Run_10,0.6323019123177696,1719,0,85951
10,Run_11,0.6255904801146921,1401,0,70051
11,Run_12,0.619833699059146,1046,0,52301
12,Run_13,0.6252418084928014,1539,0,76951
13,Run_14,0.6255440014392639,2430,2,111886
14,Run_15,0.6215636898130692,1273,0,63651
15,Run_16,0.6381094918982235,1358,0,67901
16,Run_17,0.6339956913597146,1753,2,87651
17,Run_18,0.6391432311663033,1449,0,72451
18,Run_19,0.6298147301063599,1828,0,91401
19,Run_20,0.6262986904028791,1651,0,82541
20,Run_21,0.6300940208099087,1283,10,64151
21,Run_22,0.6524189100415124,2641,0,132051
22,Run_23,0.6514327149789039,2342,0,117101
23,Run_24,0.6658634933270943,3283,0,164151
24,Run_25,0.6671857513616495,1823,1,91151
25,Run_26,0.6728559939680955,2902,8,145101
26,Run_27,0.6813107043920655,2260,0,113001
27,Run_28,0.6822059235147322,2727,6,136351
28,Run_29,0.6859078868080739,2404,1,120201
29,Run_30,0.6908704987418475,3223,0,161151
