,Run_nr,HV,Epochs,Poor_epochs,Total_iterations
0,Run_1,0.8093996660139122,295,70,21845
1,Run_2,0.8203186884037946,264,23,26137
2,Run_3,0.8053413746290712,270,19,20071
3,Run_4,0.8144887489938368,252,18,25672
4,Run_5,0.8226934336092524,245,20,21578
5,Run_6,0.8277496786284945,270,19,32802
6,Run_7,0.8352159095914878,341,18,30758
7,Run_8,0.8316533913203663,244,27,18283
8,Run_9,0.7340005045832982,386,373,10340
9,Run_10,0.8322572894265771,266,24,23644
10,Run_11,0.8060678143934388,269,16,21912
11,Run_12,0.820125665269051,260,18,25011
12,Run_13,0.7523136746078466,395,229,13705
13,Run_14,0.7756991081690434,242,16,18209
14,Run_15,0.7775764784090409,383,16,22404
15,Run_16,0.8165086840387488,279,43,21111
16,Run_17,0.8166304247710354,247,29,20159
17,Run_18,0.8043746571036117,251,20,22665
18,Run_19,0.8073709207844268,246,19,21816
19,Run_20,0.8245171418159392,249,10,21293
20,Run_21,0.8174649895278943,230,19,19753
21,Run_22,0.813437133326125,348,45,34889
22,Run_23,0.8026182266700306,228,10,20558
23,Run_24,0.8211644661228379,252,19,21209
24,Run_25,0.8062039717913908,236,19,17970
