execution_start_time,2021-10-04 14:47:56.599094
HV Benchmark,0.6385467212780349
execution_end_time,2021-10-04 14:48:59.806414
total_model_runs,1
average_run_time,0 days 00:01:01.367358
total_duration,0:01:03.207320
start_time_formatted,"10/04/2021, 14:47:56"
end_time_formatted,"10/04/2021, 14:48:59"
HV obtained,0.49841888688224845
total_demand,3197475.0
n,127
wt,0
tp,5
ref_point_max_f1_ATT,50
ref_point_min_f1_ATT,24
ref_point_max_f2_TRT,6600
ref_point_min_f2_TRT,982
walkFactor,3
boardingTime,0
alightingTime,0
large_dist,10000
alpha_const_inter,0.5
con_r,60
con_minNodes,12
con_maxNodes,25
con_N_nodes,127
con_fleet_size,600
con_vehicle_capacity,20
con_lower_bound,0
con_upper_bound,1
method,GA
termination_criterion,FirstToBreach
population_size,200
generations,1
number_of_runs,1
crossover_probability,0.6
mutation_probability,1
mutation_threshold,0.03
mutation_ratio,0.5
gen_compare_HV,40
HV_improvement_th,0.0001
crossover_distribution_index,5
mutation_distribution_index,10
tournament_size,2
max_evaluations,25000
number_of_variables,6
number_of_objectives,2
Number_of_initial_solutions,10000
