Nr,R_x,f_1,f_2,Generation,Rank
0,4-24-7-27-10-21-5*2-29-27-7-20-24-4*19-22-25-28-16-27-2-29*7-20-23-3-1-9*12-19-22-25-28-7-20*8-12-22-17-28-25*1-9-3-11-17-22-0-18*6-15-10-27-7-20-14*5-6-13-0-18-22-17-11*8-19-18-17-22-0-26*4-7-25-28-17-22-18*15-27-16-28-17-22-19*,18.96101239,255,0,0
1,4-20-7-28-0-18-22*7-27-2-10-15-21*24-4-7-27-16-28-25*9-3-1-23-20-14-11*8-12-19-0-13-6-5-21*0-18-22-17-28-16-10*2-29-27-7-24-14-23*0-18-22-17-19-8-26*9-3-1-23-4-24*18-22-17-0-19*5-15-2-21*1-3-11-25-0-18-17*,20.4584405,238,0,0
2,12-18-0-25-22*6-16-7-28-0-18-22*14-20-7-27-16-28-25*6-16-27-7-20-4-24*7-28-0-18-22-17-11*6-5-21-10-29-2-16*21-5-6-13-18-0-17-22*22-25-28-0-12-8-26*3-1-23-14-24-20*10-27-16-15*0-12-19-17-22*3-1-9-23-20-7-16*,21.34831658,234,0,0
3,7-10-16-28-25-11-14-24-4-20*11-17-22-0-25-7-20-14*1-3-23-14-7-27-2*1-3-9-23-14-11-17-22*12-17-22-18-0-26*2-21-10-29*12-19-22-18-13-6-5-21*15-16-27-2-21*2-29-27-16-28-17-19-8*9-23-14-7-16-6-21*2-29-27-7-20-24-4*8-26-0-28-17-22-19*,17.9198036,285,0,0
4,18-0-17-11-3-1-23*2-27-7-28-25-0-18*4-20-24-23-3-14*10-15-2-27-7-20*12-0-22-17-19*7-14-11-25-28-16*9-23-14-11-17-22-0-18*8-26-0-19-17-12*17-22-25-28-16-27-2-29*6-15-2-27-7-20*5-21-6-13-18-0-22-17*3-1-23-20-7-16-6-5*,19.18362754,254,0,0
5,9-3-1-23-20-7-25*11-25-28-7-27-10-15*6-13-18-17-28-25*0-18-22-17-11-3-9-1*12-19-22-25-28-16-27*2-29-27-16-28-17-19-8*11-17-22-0-18-12-8-26*9-1-3-24-23*4-14-24-20-7-16-27*21-10-2-27-16-28*5-21*5-6-13-18-0-22-25*,20.45434884,239,0,0
6,24-4-7-25-22-18-0-26*8-19-22-25-11-17*4-20-7-25-0-18-13*19-12-17-28-25-7-20*9-1-23-14-7-27-10*5-21-6-13-0-18-22-17*16-27-29-2-15-21*3-9-23-14-11-17-22-18*3-1-24-20-7-27-15*0-25-22-19-17-12*1-3-23-24-4-20*6-16-28-25-0-22-19*,18.77963526,261,0,0
7,20-24-14-3-23*10-2-27-16-7-14*3-1-23-20-7-16-6-5*22-18-0-25-7-4-24*12-18-0-28-25-11-17*0-25-28-16-10-15-21*17-22-0-18-19-8-26*12-19-22-0-13-6-5-21*9-3-1-4-23*15-16-27-10-2-29*25-0-18-22-17-28*3-1-9-23-14-11-17-22*,19.29766776,245,0,0
8,2-29-27-7-4-24-20*15-27-16-28-17-22-0-26*9-23-20-7-27-15-21*12-19-22-0-25-11-17*9-1-23-14-20-7-25*17-22-0-28-16-10-21*5-6-21-2-15*3-1-24-4-7-10-21*16-7-28-0-18-22-17*8-12-19-17-28-7-20-24*19-12-0-18-13-6-5-21*0-22-17-11-14-23-1-9*,18.01575286,282,0,0
9,12-19-17-22-18-0-25*13-6-16-28-0-22-17-19*4-24-20-14-7-16-27*16-2-10-15-27*5-15-21*1-9-23-14-20-7-16*4-14-11-25-28-16-27-7*8-19-17-22-0-18*2-15-10-29*3-23-14-20-7-28-17*3-23-14-11-17-18-0-26*22-18-0-25-7-20-24*,22.2032967,232,0,0
10,4-24-14-11-17-22-12-8*9-1-3-11-17-18-0-26*13-6-16-7-25-28-17*24-4-20-7-27-2-29*13-6-21-15-10-2-29*18-0-19-12-17-11-25*0-22-18-13-6-5-21*9-1-3-23-20-7-27*15-10-27-7-25-22-18*4-24-23-14-7-16-27*3-1-9-23-14-7-27*14-11-3-9-1-23*,18.33496025,264,0,0
11,4-7-28-25-22-19-12*11-17-28-7-20-23*10-27-16-7-28-0-18*3-9-23-14-20-7-16*11-17-22-18-0-13-6-21*1-3-24-20-7-16-6-5*5-21-10-2-27-16*5-21-15-10-27-7-20*4-24-14-11-17-22-12-8*10-2-29-27-7-24*12-17-19-18-22-0-26*21-10-15-27-16-28-25*,18.07201309,269,0,0
12,18-0-22-17-19*8-12-19-17-28-7-20-24*1-9-3-11-17-22-18-0-26*2-29-27-16-7-14*7-16-27-15-10-2-29*15-21-10-16-27-29*8-12-18-0-25-28-16-27*1-3-23-14-7-16-6-5*5-21-15-10-6-13-0-22-18*4-20-7-27-16-28-25*2-7-27-29*14-20-7-28-0-22-17*,18.40498597,262,0,0
13,15-2-29-27-7-20*0-18-22-17-28-7-20*8-19-17-22-18-0-13*9-1-3-23-20-7-27*15-10-16-27-7-20-24*12-18-0-22-17-11-14-23*3-1-24-20-7-25-28*5-21-10-2-27-7*14-7-20-4-23*7-28-17-19-18-0-26*5-21-15-6-13-18-0-26*1-3-23-14-7-16-6-5*,19.14551672,255,0,1
14,6-21-10-2-29-27*23-14-24-4-7-27-29*7-25-28-0-22-17-18*9-1-3-11-17-0-18-13*8-12-0-18-13-6-10-15*8-19-22-17-28-25*5-21-10-27-16-28-25*1-3-24-20-7-28-25*25-11-17-19-12-18-0-26*7-25-22-17-19-12*14-11-3-9-23*28-25-7-27-10-2-29*,18.98383797,256,0,1
15,11-25-28-7-27-10-15*4-24-3-23-14-11*28-7-16-27-2-29*12-17-19-22-25-0-13*12-17-19-18-0-26*1-3-23-14-20-7-27*5-6-13-18-0-22-19-12-8*17-22-25-28-16-10-21*9-1-3-23-20-24*3-1-14-11-17-22-0-13*4-24-14-23-3-1-9*12-0-22-17-19*,21.11211129,238,0,1
