,f_1,f_2,R_x
0,14.33767827916764,635,4-24-1-3-23-20-7-28-16-27-29-2-21*9-23-20-7-25-0-26-8-19-22-18*1-3-24-7-27-10-21-5-6-16-28-25-11-14-20*9-1-4-20-7-16-15-21-5-6-13-0-19-12-8*9-1-3-11-17-22-0-18-13-6-10-29-2-15-5*9-23-14-7-27-10-15-6-13-18-12-0-28-16-2*15-10-16-28-17-19-22-18-0-26*29-2-7-20-24-1-3-4-23-14-11-17-22-18-13*12-0-28-7-14-9-3-11-17-22-18-13-6-21-5*13-18-0-25-7-4-24-14-11-17-12-8-26*8-12-19-17-11-3-1-9-23-14-7-16-6-5-21*2-29-27-7-25-22-19-12-8-26-0-13-6-21-5*
0,14.35889642272621,593,9-1-3-11-17-22-0-18-13-6-10-29-2-15-5*23-1-3-4-20-7-16-15-21-5-6-13-18-19-12*1-3-24-7-27-10-21-5-6-16-28-25-11-14-20*5-21-6-13-18-22-17-28-7-20-23-3-1-9*1-14-9-23-20-7-25-0-26-8*9-23-14-7-27-10-15-6-13-18-12-0-28-16-2*21-2-29-27-16-28-17-19-18-0-26*29-2-7-20-24-1-3-23-14-11-17-22-18-13*3-9-1-4-23-24*13-18-0-25-7-4-24-14-11-17-12-8-26*8-12-19-17-11-3-1-9-23-14-7-16-6-5-21*2-29-27-7-25-22-19-12-8-26-0-13-6-5-21*
0,14.38330021042787,559,9-1-3-11-17-22-0-18-13-6-10-29-2-15*1-3-4-20-7-16-15-21-5-6-13-18-19-12*1-3-24-7-27-10-21-5-6-16-28-25-11-14-20*5-21-6-13-18-22-17-28-7-20-23-3-1-9*9-23-20-7-25-0-26*9-23-14-7-27-10-15-6-13-18-12-0-28-16-2*5-21-2-29-27-16-28-17-19-22-18-0-26*29-2-7-20-24-1-3-23-14-11-17-22-18-13*9-1-4-24-23*13-18-0-25-7-4-24-14-11-17-12-8*8-12-19-17-11-3-1-9-23-14-7-16-6-5*2-29-27-7-25-22-19-12-8-26-0-13-6-5-21*
1,14.425590367079728,553,9-1-3-11-17-22-0-18-13-6-10-29-2-15*1-3-4-20-7-16-15-21-5-6-13-18-19-12*1-3-24-7-27-10-21-5-6-16-28-25-11-14-20*5-21-6-13-18-22-17-28-7-20-23-3-1-9*9-23-20-7-25-0-26*9-23-14-7-27-10-15-6-13-18-12-0-28-16-2*5-21-2-29-27-16-28-17-19-22-18-0-26*29-2-7-20-24-1-3-23-14-11-17-22-18*9-1-4-24-23*13-18-0-25-7-4-24-14-11-17-12-8*8-12-19-17-11-3-1-9-23-14-7-16-6-5*2-29-27-7-25-22-19-12-8-26-0-13-6-5-21*
0,14.43394902969371,541,9-1-3-11-17-22-0-18-13-6-10-29-2-15*1-3-4-20-7-16-15-21-5-6-13-18-19-12*1-3-24-7-27-10-21-5-6-16-28-25-11-14-20*21-6-13-18-22-17-28-7-20-23-3-1*9-23-20-7-25-0-26*9-23-14-7-27-10-15-6-13-18-12-0-28-16-2*5-21-2-29-27-16-28-17-19-22-18-0-26*29-2-7-20-24-1-3-23-14-11-17-22-18-13*9-1*13-18-0-25-7-4-24-14-11-17-12-8*8-12-19-17-11-3-1-9-23-14-7-16-6-5-21*2-29-27-7-25-22-19-12-8-26-0-13-6-5*
1,14.456540799625904,537,9-1-3-11-17-22-0-18-13-6-10-29-2-15*1-3-4-20-7-16-15-21-5-6-13-18-19-12*1-3-24-7-27-10-21-5-6-16-28-25-11-14-20*21-6-13-18-22-17-28-7-20-23-3-1*9-23-20-7-25-0-26*9-23-14-7-27-10-15-6-13-18-12-0-28-16-2*5-21-2-29-27-16-28-17-22-18-0-26*29-2-7-20-24-1-3-23-14-11-17-22-18-13*9-1*13-18-0-25-7-4-24-14-11-17-12-8*8-12-19-17-11-3-1-9-23-14-7-16-6-5-21*2-29-27-7-25-22-19-12-8-26-0-13-6-5*
2,14.499883095627776,535,9-1-3-11-17-22-0-18-13-6-10-29-2-15*1-3-4-20-7-16-15-5-6-13-18-19-12*1-3-24-7-27-10-21-5-6-16-28-25-11-14-20*21-6-13-18-22-17-28-7-20-23-3-1*9-23-20-7-25-0-26*9-23-14-7-27-10-15-6-13-18-12-0-28-16-2*5-21-2-29-27-16-28-17-22-18-0-26*29-2-7-20-24-1-3-23-14-11-17-22-18-13*9-1*13-18-0-25-7-4-24-14-11-17-12-8*8-12-19-17-11-3-1-9-23-14-7-16-6-5-21*2-29-27-7-25-22-19-12-8-26-0-13-6-5*
3,14.50900163666121,534,9-1-3-11-17-22-0-18-13-6-10-29-2-15*1-3-4-20-7-16-15-5-6-13-18-19-12*1-3-24-7-27-10-21-5-6-16-28-25-11-14-20*21-6-13-18-22-17-28-7-20-23-3*9-23-20-7-25-0-26*9-23-14-7-27-10-15-6-13-18-12-0-28-16-2*5-21-2-29-27-16-28-17-22-18-0-26*29-2-7-20-24-1-3-23-14-11-17-22-18-13*9-1*13-18-0-25-7-4-24-14-11-17-12-8*8-12-19-17-11-3-1-9-23-14-7-16-6-5-21*2-29-27-7-25-22-19-12-8-26-0-13-6-5*
9,14.513794715922376,533,5-21-15-10-7-20-14-11-17-22-18-0-26*19-18-0-28-16-2-29-27-7-25-22-12-8*14-9-1-3-11-17-22-0-18-13-6-21-2-29*5-6-13-0-12-19-22-25-28-16-15-21*13-6-16-27-29-2-7-24-3-9*12-19-18-0-25-7-20-24-4-23-3-1*9-23-14-7-16-6-13*8-12-19-17-28-16-10-2*27-2-15-5-6-16-7-24-1-3*8-12-17-11-14-23-1-3-4-7-28-0-26*29-10-15-6-13-0-26-8-12-19-17-11-14-24-4*14-11-25-28-16-6-5-21-10-27-7-20-23-9-3*
10,14.51923076923077,530,5-21-15-10-7-20-14-11-17-22-18-0-26*18-0-28-16-2-29-27-7-25-22-12-8*9-1-3-11-17-22-0-18-13-6-21-2-29*5-6-13-0-12-19-22-25-28-16-15-21*13-6-16-27-29-2-7-24-3-9-1*12-19-18-0-25-7-20-24-4-23-3*9-23-14-7-16-6-13*8-12-19-17-28-16-10-2*27-2-15-5-6-16-7-24-1-3*19-8-12-17-11-14-23-1-3-4-7-28-0-26*29-10-15-6-13-0-26-8-12-19-17-11-14-24-4*14-11-25-28-16-6-5-21-10-27-7-20-23-9-3*
11,14.519698386719664,527,21-15-10-7-20-14-11-17-22-18-0-26*18-0-28-16-2-29-27-7-25-22-12-8*9-1-3-11-17-22-0-18-13-6-21-2-29*5-6-13-0-12-19-22-25-28-16-15-21*13-6-16-27-29-2-7-24-3-9-1*12-19-18-0-25-7-20-24-4-23-3*9-23-14-7-16-6-13*8-12-19-17-28-16-10-2*27-2-15-5-6-16-7-24-1-3*19-8-12-17-11-14-23-1-3-4-7-28-0-26*29-10-15-6-13-0-26-8-12-19-17-11-14-24-4*14-11-25-28-16-6-5-21-10-27-7-20-23-9-3*
